_id,หน่วยโรงงาน,ปี,หน่วยเงินทุน,จำนวนคนงาน,หน่วยคนงาน,กลุ่มอุตสาหกรรม,หน่วยเครื่องจักร,เครื่องจักร,เงินทุน,จำนวนโรงงาน
31,โรง,2566,ล้านบาท,64,คน,การพิมพ์ การเย็บเล่ม ทำปกหรือการทำแม่พิมพ์,แรงม้า,901.5,54.3,3
32,โรง,2566,ล้านบาท,441,คน,เคมีภัณฑ์และผลิตภัณฑ์เคมี,แรงม้า,3426.65,472.8,17
33,โรง,2566,ล้านบาท,0,คน,ผลิตภัณฑ์จากปิโตรเลียม,แรงม้า,0,0,0
34,โรง,2566,ล้านบาท,213,คน,ยางและผลิตภัณฑ์ยาง,แรงม้า,2827.35,197.9,4
35,โรง,2566,ล้านบาท,795,คน,ผลิตภัณฑ์พลาสติก,แรงม้า,14573.87,1024.62,45
36,โรง,2566,ล้านบาท,80,คน,ผลิตภัณฑ์อโลหะ,แรงม้า,1305.63,178.71,5
37,โรง,2566,ล้านบาท,269,คน,ผลิตโลหะขั้นมูลฐาน,แรงม้า,6185.82,486.8,12
38,โรง,2566,ล้านบาท,962,คน,ผลิตภัณฑ์โลหะ,แรงม้า,14561.22,2436.28,32
39,โรง,2566,ล้านบาท,266,คน,ผลิตเครื่องจักรและเครื่องกล,แรงม้า,2567.8,353.48,9
40,โรง,2566,ล้านบาท,471,คน,ผลิตเครื่องใช้ไฟฟ้าและอุปกรณ์,แรงม้า,1742.66,432.25,8
41,โรง,2566,ล้านบาท,397,คน,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,แรงม้า,2402,317.28,11
42,โรง,2566,ล้านบาท,593,คน,การผลิตอื่นๆ,แรงม้า,18480.86,1639.56,27
43,โรง,2567,ล้านบาท,27,คน,ผลิตภัณฑ์จากพืช,แรงม้า,401,150,1
44,โรง,2567,ล้านบาท,882,คน,อุตสาหกรรมอาหาร,แรงม้า,10809.91,834.59,20
45,โรง,2567,ล้านบาท,53,คน,อุตสาหกรรมเครื่องดื่ม,แรงม้า,867.7,46.16,2
46,โรง,2567,ล้านบาท,371,คน,สิ่งทอ,แรงม้า,1510.89,289,6
47,โรง,2567,ล้านบาท,424,คน,อุตสาหกรรมเครื่องแต่งกายยกเว้นรองเท้า,แรงม้า,293.44,51.36,2
48,โรง,2567,ล้านบาท,0,คน,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,แรงม้า,0,0,0
49,โรง,2567,ล้านบาท,15,คน,แปรรูปไม้และผลิตภัณฑ์จากไม้,แรงม้า,490.5,15,1
50,โรง,2567,ล้านบาท,17,คน,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรือโลหะอื่นๆ,แรงม้า,125,23,1
51,โรง,2567,ล้านบาท,491,คน,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,แรงม้า,3885.96,466.54,11
52,โรง,2567,ล้านบาท,265,คน,การพิมพ์ การเย็บเล่ม ทำปกหรือการทำแม่พิมพ์,แรงม้า,1412.77,113.8,5
53,โรง,2567,ล้านบาท,105,คน,เคมีภัณฑ์และผลิตภัณฑ์เคมี,แรงม้า,984.47,103.36,6
54,โรง,2567,ล้านบาท,0,คน,ผลิตภัณฑ์จากปิโตรเลียม,แรงม้า,0,0,0
55,โรง,2567,ล้านบาท,58,คน,ยางและผลิตภัณฑ์ยาง,แรงม้า,1614.08,61.53,4
56,โรง,2567,ล้านบาท,995,คน,ผลิตภัณฑ์พลาสติก,แรงม้า,11321.83,843.39,28
57,โรง,2567,ล้านบาท,8,คน,ผลิตภัณฑ์อโลหะ,แรงม้า,234.38,81.5,1
58,โรง,2567,ล้านบาท,193,คน,ผลิตโลหะขั้นมูลฐาน,แรงม้า,5612.24,109,5
59,โรง,2567,ล้านบาท,675,คน,ผลิตภัณฑ์โลหะ,แรงม้า,7089.8,441.49,13
60,โรง,2567,ล้านบาท,208,คน,ผลิตเครื่องจักรและเครื่องกล,แรงม้า,2171.95,249.48,8
61,โรง,2567,ล้านบาท,429,คน,ผลิตเครื่องใช้ไฟฟ้าและอุปกรณ์,แรงม้า,2838.83,657.9,9
62,โรง,2567,ล้านบาท,236,คน,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,แรงม้า,1805.26,293.73,6
63,โรง,2567,ล้านบาท,2387,คน,การผลิตอื่นๆ,แรงม้า,48759.89,2893.98,36
